,PassengerId,Survived,Pclass,FName,LName,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
178,98,1.0,1, 'Greenfield, Mr. William Bertram', 'male',23.0,0, '1', 'PC 17759',63.358299255371094, 'D10 D12', 'C'
179,287,1.0,3, 'de Mulder, Mr. Theodore', 'male',30.0,0, '0', '345774',9.5, '', 'S'
180,826,0.0,3, 'Flynn, Mr. John', 'male',20.0,0, '0', '368323',6.949999809265137, '', 'Q'
181,34,0.0,2, 'Wheadon, Mr. Edward H', 'male',66.0,0, '0', 'C.A. 24579',10.5, '', 'S'
182,537,0.0,1, 'Butt, Major. Archibald Willingham', 'male',45.0,0, '0', '113050',26.549999237060547, 'B38', 'S'
183,89,1.0,1, 'Fortune, Miss. Mabel Helen', 'female',23.0,3, '2', '19950',263.0, 'C23 C25 C27', 'S'
184,155,0.0,3, 'Olsen, Mr. Ole Martin', 'male',20.0,0, '0', 'Fa 265302',7.3125, '', 'S'
185,568,0.0,3, 'Palsson, Mrs. Nils (Alma Cornelia Berglund)', 'female',29.0,0, '4', '349909',21.075000762939453, '', 'S'
186,187,1.0,3, 'O\'Brien, Mrs. Thomas (Johanna Hannah Godfrey)', 'female',30.0,1, '0', '370365',15.5, '', 'Q'
187,450,1.0,1, 'Peuchen, Major. Arthur Godfrey', 'male',52.0,0, '0', '113786',30.5, 'C104', 'S'
188,587,0.0,2, 'Jarvis, Mr. John Denzil', 'male',47.0,0, '0', '237565',15.0, '', 'S'
189,203,0.0,3, 'Johanson, Mr. Jakob Alfred', 'male',34.0,0, '0', '3101264',6.495800018310547, '', 'S'
190,701,1.0,1, 'Astor, Mrs. John Jacob (Madeleine Talmadge Force)', 'female',18.0,1, '0', 'PC 17757',227.52499389648438, 'C62 C64', 'C'
191,27,0.0,3, 'Emir, Mr. Farred Chehab', 'male',20.0,0, '0', '2631',7.224999904632568, '', 'C'
192,348,1.0,3, 'Davison, Mrs. Thomas Henry (Mary E Finck)', 'female',30.0,1, '0', '386525',16.100000381469727, '', 'S'
193,728,1.0,3, 'Mannion, Miss. Margareth', 'female',30.0,0, '0', '36866',7.737500190734863, '', 'Q'
194,385,0.0,3, 'Plotcharsky, Mr. Vasil', 'male',20.0,0, '0', '349227',7.8958001136779785, '', 'S'
195,266,0.0,2, 'Reeves, Mr. David', 'male',36.0,0, '0', 'C.A. 17248',10.5, '', 'S'
196,889,0.0,3, 'Johnston, Miss. Catherine Helen Carrie', 'female',20.0,1, '2', 'W./C. 6607',23.450000762939453, '', 'S'
197,76,0.0,3, 'Moen, Mr. Sigurd Hansen', 'male',25.0,0, '0', '348123',7.650000095367432, 'F G73', 'S'
198,530,0.0,2, 'Hocking, Mr. Richard George', 'male',23.0,2, '1', '29104',11.5, '', 'S'
199,292,1.0,1, 'Bishop, Mrs. Dickinson H (Helen Walton)', 'female',19.0,1, '0', '11967',91.0792007446289, 'B49', 'C'
200,311,1.0,1, 'Hays, Miss. Margaret Bechstein', 'female',24.0,0, '0', '11767',83.1583023071289, 'C54', 'C'
201,524,1.0,1, 'Hippach, Mrs. Louis Albert (Ida Sophia Fischer)', 'female',44.0,0, '1', '111361',57.97919845581055, 'B18', 'C'
202,192,0.0,2, 'Carbines, Mr. William', 'male',19.0,0, '0', '28424',13.0, '', 'S'
203,691,1.0,1, 'Dick, Mr. Albert Adrian', 'male',31.0,1, '0', '17474',57.0, 'B20', 'S'
204,457,0.0,1, 'Millet, Mr. Francis Davis', 'male',65.0,0, '0', '13509',26.549999237060547, 'E38', 'S'
205,784,0.0,3, 'Johnston, Mr. Andrew G', 'male',20.0,1, '2', 'W./C. 6607',23.450000762939453, '', 'S'
206,800,0.0,3, 'Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)', 'female',30.0,1, '1', '345773',24.149999618530273, '', 'S'
207,808,0.0,3, 'Pettersson, Miss. Ellen Natalia', 'female',18.0,0, '0', '347087',7.775000095367432, '', 'S'
208,713,1.0,1, 'Taylor, Mr. Elmer Zebley', 'male',48.0,1, '0', '19996',52.0, 'C126', 'S'
209,172,0.0,3, 'Rice, Master. Arthur', 'male',4.0,4, '1', '382652',29.125, '', 'Q'
210,752,1.0,3, 'Moor, Master. Meier', 'male',6.0,0, '1', '392096',12.475000381469727, 'E121', 'S'
211,416,0.0,3, 'Meek, Mrs. Thomas (Annie Louise Rowley)', 'female',20.0,0, '0', '343095',8.050000190734863, '', 'S'
212,259,1.0,1, 'Ward, Miss. Anna', 'female',35.0,0, '0', 'PC 17755',512.3292236328125, '', 'C'
213,642,1.0,1, 'Sagesser, Mlle. Emma', 'female',24.0,0, '0', 'PC 17477',69.30000305175781, 'B35', 'C'
