,PassengerId,Survived,Pclass,FName,LName,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,['813',0, '2', 'Slemen, Mr. Richard James', 'male',35.0, '0', '0', '28206', '10.5', '', 'S']
1,['370',1, '1', 'Aubart, Mme. Leontine Pauline', 'female',24.0, '0', '0', 'PC 17477', '69.3', 'B35', 'C']
2,['242',1, '3', 'Murphy," Miss. Katherine ""Kate""'", 'female',30.0, '1', '0', '367230', '15.5', '', 'Q']
3,['616',1, '2', 'Herman, Miss. Alice', 'female',24.0, '1', '2', '220845', '65', '', 'S']
4,['100',0, '2', 'Kantor, Mr. Sinai', 'male',34.0, '1', '0', '244367', '26', '', 'S']
5,['781',1, '3', 'Ayoub, Miss. Banoura', 'female',13.0, '0', '0', '2687', '7.2292', '', 'C']
6,['841',0, '3', 'Alhomaki, Mr. Ilmari Rudolf', 'male',20.0, '0', '0', 'SOTON/O2 3101287', '7.925', '', 'S']
7,['82',1, '3', 'Sheerlinck, Mr. Jan Baptist', 'male',29.0, '0', '0', '345779', '9.5', '', 'S']
8,['718',1, '2', 'Troutt," Miss. Edwina Celia ""Winnie""'", 'female',27.0, '0', '0', '34218', '10.5', 'E101', 'S']
9,['877',0, '3', 'Gustafsson, Mr. Alfred Ossian', 'male',20.0, '0', '0', '7534', '9.8458', '', 'S']
10,['386',0, '2', 'Davies, Mr. Charles Henry', 'male',18.0, '0', '0', 'S.O.C. 14879', '73.5', '', 'S']
11,['472',0, '3', 'Cacic, Mr. Luka', 'male',38.0, '0', '0', '315089', '8.6625', '', 'S']
12,['778',1, '3', 'Emanuel, Miss. Virginia Ethel', 'female',5.0, '0', '0', '364516', '12.475', '', 'S']
13,['121',0, '2', 'Hickman, Mr. Stanley George', 'male',21.0, '2', '0', 'S.O.C. 14879', '73.5', '', 'S']
14,['390',1, '2', 'Lehmann, Miss. Bertha', 'female',17.0, '0', '0', 'SC 1748', '12', '', 'C']
15,['388',1, '2', 'Buss, Miss. Kate', 'female',36.0, '0', '0', '27849', '13', '', 'S']
16,['879',0, '3', 'Laleff, Mr. Kristo', 'male',20.0, '0', '0', '349217', '7.8958', '', 'S']
17,['544',1, '2', 'Beane, Mr. Edward', 'male',32.0, '1', '0', '2908', '26', '', 'S']
18,['630',0, '3'," ""O'Connell"," Mr. Patrick D""", 'male',20.0, '0', '0', '334912', '7.7333', '', 'Q']
19,['507',1, '2', 'Quick, Mrs. Frederick Charles (Jane Richards)', 'female',33.0, '0', '2', '26360', '26', '', 'S']
20,['154',0, '3', 'van Billiard, Mr. Austin Blyler', 'male',40.5, '0', '2', 'A/5. 851', '14.5', '', 'S']
21,['876',1, '3', 'Najib," Miss. Adele Kiamie ""Jane""'", 'female',15.0, '0', '0', '2667', '7.225', '', 'C']
22,['460',0, '3'," ""O'Connor"," Mr. Maurice""", 'male',20.0, '0', '0', '371060', '7.75', '', 'Q']
23,['303',0, '3', 'Johnson, Mr. William Cahoone Jr', 'male',19.0, '0', '0', 'LINE', '0', '', 'S']
24,['790',0, '1', 'Guggenheim, Mr. Benjamin', 'male',46.0, '0', '0', 'PC 17593', '79.2', 'B82 B84', 'C']
